colony,sym,time,date,D,C,total,logtotal,logfebtotal
704,C,1,feb,0,0.19549875,0.19549875,-0.708856015,-0.708856015
704,C,2,apr,0,0.12233243,0.12233243,-0.912458397,-0.708856015
704,C,3,jun,0.00010993,0.07215642,0.07226635,-1.14106388,-0.708856015
759,D,1,feb,0.017853426,0.00002654,0.01787997,-1.747633214,-1.747633214
759,D,2,apr,0.104429116,0.01037216,0.11480128,-0.94005327,-1.747633214
759,D,3,jun,0.142478503,0.00012965,0.14260815,-0.845855654,-1.747633214
760,C,1,feb,0.000273917,0.08212557,0.08239949,-1.084075476,-1.084075476
760,C,2,apr,0,0.13140457,0.13140457,-0.881389531,-1.084075476
760,C,3,jun,0,0.05703614,0.05703614,-1.243849874,-1.084075476
761,D,1,feb,0.048032619,0.00004947,0.04808209,-1.318016663,-1.318016663
761,D,2,apr,0.063086225,0,0.06308623,-1.200065425,-1.318016663
761,D,3,jun,0.210830465,0.00001363,0.21084409,-0.676038568,-1.318016663
762,C,1,feb,0.000088599,0.16703623,0.16712483,-0.776959021,-0.776959021
762,C,2,apr,0,0.24344537,0.24344537,-0.613598481,-0.776959021
762,C,3,jun,0,0.06685505,0.06685505,-1.174865782,-0.776959021
763,D,1,feb,0.038066536,0.00508791,0.04315444,-1.364974515,-1.364974515
763,D,2,apr,0.083597822,0.01139064,0.09498846,-1.022329153,-1.364974515
763,D,3,jun,0.110499606,0.01560392,0.12610353,-0.899272756,-1.364974515
764,C,1,feb,0.000084451,0.06442265,0.0645071,-1.190392482,-1.190392482
764,C,2,apr,0,0.15934372,0.15934372,-0.797665048,-1.190392482
764,C,3,jun,0,0.11373563,0.11373563,-0.944103462,-1.190392482
765,D,1,feb,0.043080526,0.00003299,0.04311352,-1.365386518,-1.365386518
765,D,2,apr,0.05465169,0.00000583,0.05465752,-1.262350078,-1.365386518
765,D,3,jun,0.112820597,0,0.1128206,-0.947611595,-1.365386518
766,D,1,feb,0.191650109,0,0.19165011,-0.717490927,-0.717490927
766,D,2,apr,0.161083122,0,0.16108312,-0.792949967,-0.717490927
766,D,3,jun,0.200933463,0,0.20093346,-0.696947737,-0.717490927
767,C,1,feb,0.000009333,0.0272164,0.02722573,-1.565020467,-1.565020467
767,C,2,apr,0,0.08484763,0.08484763,-1.071360284,-1.565020467
767,C,3,jun,0,0.04866285,0.04866285,-1.31280246,-1.565020467
