Genotype,FragID,T0_TLE,T0_FieldTLE
1,7,9.069,13
31,4,9.551,9.8
36,5,6.213,7.8
62,6,13.103,12.7
7,4,9.19,10.8
31,6,3.901,9.3
1,4,11.42,12.2
36,7,7.632,8.5
13,7,8.696,8.9
36,6,5.376,6.1
41,9,7.7,8.2
62,8,9.797,10.5
50,7,4.706,5.2
36,10,7.188,8.5
1,10,6.131,7.8
7,9,4.726,5.9
3,9,5.377,7.2
44,12,7.612,8.1
31,8,6.254,7.1
50,8,7.457,8.7
36,9,4.698,5.7
3,8,10.321,11.1
13,8,5.995,7.8
62,7,10.656,10.8
44,11,7.812,8.8
13,9,7.766,8.5
41,8,7.183,8
3,7,7.822,10.4
50,9,8.447,9.6
7,7,5.03,6.4
1,8,9.247,10
36,8,5.009,6
3,20,11.808,11.4
1,18,15.385,15.4
7,18,6.218,5.2
36,20,10.274,10.1
41,18,14.141,15.1
13,19,8.689,10.7
1,20,5.404,5.6
3,18,6.54,8.1
41,28,7.41,10.5
13,21,8.141,7.7
36,17,5.461,5.5
3,19,5.492,6
44,21,5.017,6.3
41,17,11.316,11.7
41,12,7.254,7.6
1,11,18.308,17
44,13,5.018,5.4
62,12,9.696,9.8
7,12,11.972,13
36,13,7.704,7.3
50,10,5.616,6.1
3,11,9.254,11.7
44,15,9.618,9.6
7,10,8.32,10.2
36,11,10.165,12.4
62,13,8.193,8.8
36,12,4.389,5.5
31,10,9.805,5.3
62,14,5.327,6.2
41,13,8.339,11.3
1,13,13.008,13.3
7,11,8.118,9.5
44,14,9.166,10.4
3,27,4.693,6.8
31,27,6.646,7
7,28,10.097,11.6
44,29,4.849,5.5
62,30,9.5,9.6
50,29,10.431,11
36,27,5.683,5.5
31,29,13.117,12.9
41,30,9.019,10.6
7,29,11.02,11.9
36,28,6.32,7.1
44,28,7.633,8.4
36,29,9.55,9.6
31,30,12.011,10.7
3,29,16.847,16.4
50,24,21.925,20.5
41,29,8.917,11.8
1,28,12.456,14.4
3,3,8.66,9.6
31,1,7.818,9.3
50,1,8.547,9.7
1,3,7.276,6.7
7,2,8.106,6.9
7,1,11.296,10.7
1,1,8.359,6.4
41,3,4.481,6.4
13,3,6.102,7.8
31,2,3.597,4.4
3,2,13.395,13.4
44,4,7.68,8.8
50,2,13.52,13.8
44,3,4.069,5.4
36,3,6.932,8.5
7,3,8.22,8.8
3,1,8.209,8.9
50,25,5.76,6.6
44,26,8.093,10
36,24,6.455,6.3
41,24,4.482,6.2
3,24,4.69,6.1
13,25,4.268,6.2
62,23,9.83,9.3
7,25,4.763,5.9
31,24,11.717,11
31,26,10.01,9.7
36,25,5.661,5.7
3,26,6.583,7.6
44,27,10.864,8.2
62,27,5.203,7
41,27,7.475,8.7
36,26,9.049,8.6
13,27,3.64,5.3
44,25,8.833,9.4
62,26,6.2,5.4
3,25,9.697,7.7
31,25,6.441,6.2
31,22,13.515,12.5
41,22,11.637,13.5
3,23,8.941,8.4
50,23,8.34,9.4
62,22,7.494,9.3
13,23,3.929,5.1
36,22,7.795,7.8
7,22,8.827,6.9
44,24,7.651,8.8
1,23,5.731,6.6
62,21,8.16,9.8
41,21,12.059,14
44,23,11.141,12.2
13,22,4.063,5.9
50,22,10.629,10.9
1,22,9.912,10.3
3,22,10.183,13.1
36,21,9.603,10.6
31,21,9.38,8.7
7,21,10.526,9.7
1,21,5.516,6
1,14,8.249,8.5
7,14,6.314,7.5
62,16,10.431,9.2
3,17,8.067,8.5
36,16,4.537,4.5
41,16,10.582,15.3
62,15,12.187,13.4
3,16,6.805,7.5
1,16,8.496,12.3
13,16,2.874,4.3
41,14,6.769,7.1
36,15,5.556,5.5
13,18,5.629,6.6
36,14,11.603,12.2
