colony,sym,juntotal,augtotal
704,C,0.07226635,0.01869151
759,D,0.14260815,0.07453781
760,C,0.05703614,0.03083645
761,D,0.21084409,0.07701743
762,C,0.06685505,0.00819157
763,D,0.12610353,0.08417291
764,C,0.11373563,0.01461673
765,D,0.1128206,0.08097718
766,D,0.20093346,0.18510281
767,C,0.04866285,0.00832177
768,C,0.0974391,0.020528
769,D,0.21546806,0.05531416
770,D,0.18560655,0.13558743
772,D,0.23611327,0.05515522
775,D,0.39212889,0.10704353
776,D,0.15813689,0.12493855
777,C,0.06486158,0.00564577
779,D,0.06248303,0.11107409
780,C,0.06349863,0.00801468
781,C,0.08447212,0.01758882
783,D,0.0927271,0.08427992
784,C,0.06709049,0.00978826
785,D,0.25385183,0.17419142
786,C,0.03819264,0.01365171
787,D,0.17342544,0.16406548
788,D,0.12055398,0.13900538
790,C,0.05039301,0.01800226
791,C,0.22597898,0.01581483
793,D,0.23264147,0.07603592
796,D,0.06927152,0.05255363
797,D,0.10225785,0.0800508
798,D,0.21741495,0.1525678
799,C,0.06083254,0.00970215
800,D,0.17446904,0.09183326
961,D,0.28565972,0.18597914
963,D,0.2078435,0.12535159
964,C,0.08161,0.02058431
965,D,0.17648918,0.18082957
967,C,0.04374011,0.02217067
977,C,0.06805027,0.01200492
980,C,0.05978705,0.02393716
981,C,0.13579768,0.00656804
