size,growthRate,InitialSize,breaks,time,diff,stdGR
17.7,3.5999999999999996,14.1,0,T3,T0 to T3,0.2553191489361702
15.864,6.795,9.069,0,T3,T0 to T3,0.7492557062520674
31.04127,21.490270000000002,9.551,0,T3,T0 to T3,2.2500544445607793
15.408,5.708,9.7,0,T3,T0 to T3,0.5884536082474228
15.346,1.5459999999999994,13.8,0,T3,T0 to T3,0.11202898550724633
29.058,15.955,13.103,0,T3,T0 to T3,1.2176600778447684
15.125,5.9350000000000005,9.19,0,T3,T0 to T3,0.645810663764962
7.7157,3.8147,3.901,0,T3,T0 to T3,0.977877467316073
29.289,17.869,11.42,0,T3,T0 to T3,1.5647110332749563
11.297,0.09700000000000131,11.2,0,T3,T0 to T3,0.008660714285714403
12.307,4.607,7.7,0,T3,T0 to T3,0.59831168831168835
14.551,4.754,9.797,0,T3,T0 to T3,0.48525058691436146
9.205,4.499,4.706,0,T3,T0 to T3,0.9560135996600083
9.49,2.3020000000000005,7.188,0,T3,T0 to T3,0.3202559821925432
13.596,7.796,5.8,0,T3,T0 to T3,1.3441379310344828
23.735,12.302,11.433,0,T3,T0 to T3,1.0760080468818334
6.207,1.4809999999999999,4.726,0,T3,T0 to T3,0.3133728311468472
12.274,6.896999999999999,5.377,0,T3,T0 to T3,1.2826855123674912
12.61,6.356,6.254,0,T3,T0 to T3,1.0163095618803966
15.614,8.157,7.457,0,T3,T0 to T3,1.0938715301059407
5.968,1.2699999999999996,4.698,0,T3,T0 to T3,0.27032779906343113
22.254,11.933000000000002,10.321,0,T3,T0 to T3,1.156186416044957
16.541,5.885,10.656,0,T3,T0 to T3,0.552271021021021
13.856,6.044,7.812,0,T3,T0 to T3,0.7736815156169994
8.25,-0.19699999999999918,8.447,0,T3,T0 to T3,-0.023321889428199266
11.813,2.5660000000000007,9.247,0,T3,T0 to T3,0.2774954039147833
7.807,-0.19299999999999962,8,0,T3,T0 to T3,-0.024124999999999952
22.875,12.875,10,0,T3,T0 to T3,1.2875
14.403,8.185,6.218,0,T3,T0 to T3,1.3163396590543583
18.381,4.24,14.141,0,T3,T0 to T3,0.2998373523796054
12.368,6.964,5.404,0,T3,T0 to T3,1.288675055514434
11.863,4.997999999999999,6.865,0,T3,T0 to T3,0.7280407865986889
9.565,3.0249999999999995,6.54,0,T3,T0 to T3,0.4625382262996941
12.696,4.9959999999999996,7.7,0,T3,T0 to T3,0.6488311688311688
10.886,3.475999999999999,7.41,0,T3,T0 to T3,0.46909581646423737
10.895,2.7539999999999996,8.141,0,T3,T0 to T3,0.3382876796462351
6.784,0.915,5.869,0,T3,T0 to T3,0.1559039018572159
0.698473,-4.793527,5.492,0,T3,T0 to T3,-0.8728199198834669
16.933,10.333,6.6,0,T3,T0 to T3,1.5656060606060607
6.38,2.411,3.969,0,T3,T0 to T3,0.6074577979339885
12.069,4.251000000000001,7.818,0,T3,T0 to T3,0.5437452033768229
15.392,4.075999999999999,11.316,0,T3,T0 to T3,0.3601979498055849
30.211,11.902999999999999,18.308,0,T3,T0 to T3,0.6501529386060738
10.542,3.6419999999999995,6.9,0,T3,T0 to T3,0.5278260869565217
7.374,2.356,5.018,0,T3,T0 to T3,0.4695097648465524
12.118,2.4220000000000006,9.696,0,T3,T0 to T3,0.24979372937293737
13.026,5.322,7.704,0,T3,T0 to T3,0.690809968847352
14.256,8.64,5.616,0,T3,T0 to T3,1.5384615384615385
18.354,9.1,9.254,0,T3,T0 to T3,0.9833585476550681
16.806,7.188000000000001,9.618,0,T3,T0 to T3,0.7473487211478478
14.533,6.212999999999999,8.32,0,T3,T0 to T3,0.7467548076923076
12.884,2.719000000000001,10.165,0,T3,T0 to T3,0.26748647319232677
5.921,0.2030000000000003,5.718,0,T3,T0 to T3,0.03550192374956283
23.673,19.573,4.1,0,T3,T0 to T3,4.773902439024391
12.854,4.661,8.193,0,T3,T0 to T3,0.5689002807274502
13.906,5.006,8.9,0,T3,T0 to T3,0.5624719101123595
5.363,0.9740000000000002,4.389,0,T3,T0 to T3,0.22191843244474826
24.589,14.783999999999999,9.805,0,T3,T0 to T3,1.5078021417644059
9.684,4.356999999999999,5.327,0,T3,T0 to T3,0.8179087666604091
12.1764,5.776399999999999,6.4,0,T3,T0 to T3,0.9025624999999998
12.033,6.467999999999999,5.565,0,T3,T0 to T3,1.162264150943396
18.555,5.547000000000001,13.008,0,T3,T0 to T3,0.4264298892988931
10.382593,2.2645929999999996,8.118,0,T3,T0 to T3,0.27895947277654587
15.21767,6.05167,9.166,0,T3,T0 to T3,0.6602301985598952
10.1,5.407,4.693,0,T3,T0 to T3,1.1521414873215428
20.3,8.732000000000001,11.568,0,T3,T0 to T3,0.7548409405255879
13.1,3.003,10.097,0,T3,T0 to T3,0.2974150737842924
9.4,4.551,4.849,0,T3,T0 to T3,0.9385440296968447
19.9,10.399999999999999,9.5,0,T3,T0 to T3,1.094736842105263
28.1,17.669000000000004,10.431,0,T3,T0 to T3,1.6938932029527376
8.9,3.2170000000000005,5.683,0,T3,T0 to T3,0.5660742565546367
24.6,11.483,13.117,0,T3,T0 to T3,0.8754288328123808
18.7,8.739999999999998,9.96,0,T3,T0 to T3,0.8775100401606424
15.7,9,6.7,0,T3,T0 to T3,1.3432835820895521
14.8,5.781000000000001,9.019,0,T3,T0 to T3,0.6409801530103116
23.1,12.080000000000002,11.02,0,T3,T0 to T3,1.0961887477313976
8.4,2.08,6.32,0,T3,T0 to T3,0.3291139240506329
19.284,7.273,12.011,0,T3,T0 to T3,0.60552826575639
9.046,3.645999999999999,5.4,0,T3,T0 to T3,0.675185185185185
23.428,6.5809999999999995,16.847,0,T3,T0 to T3,0.39063334718347476
37.201,15.276,21.925,0,T3,T0 to T3,0.6967388825541618
12.5698,3.652800000000001,8.917,0,T3,T0 to T3,0.4096444992710554
21.9,9.443999999999999,12.456,0,T3,T0 to T3,0.758188824662813
16.862,8.275999999999998,8.586,0,T3,T0 to T3,0.963894712322385
19.824281,12.006281,7.818,0,T3,T0 to T3,1.5357228191353287
14.712,6.164999999999999,8.547,0,T3,T0 to T3,0.7213057213057211
0,-3.893,3.893,0,T3,T0 to T3,-1
17.499852,10.223852,7.276,0,T3,T0 to T3,1.4051473336998352
18.06,9.953999999999999,8.106,0,T3,T0 to T3,1.2279792746113989
8.797,0.9530000000000003,7.844,0,T3,T0 to T3,0.12149413564507908
21.992596,10.696596,11.296,0,T3,T0 to T3,0.9469366147308782
13.19,4.8309999999999995,8.359,0,T3,T0 to T3,0.5779399449694939
7.489,3.008,4.481,0,T3,T0 to T3,0.6712787324257978
1.5,-4.602,6.102,0,T3,T0 to T3,-0.7541789577187807
2.2,-1.3969999999999998,3.597,0,T3,T0 to T3,-0.3883792048929663
21.549163,8.154163,13.395,0,T3,T0 to T3,0.6087467711832774
10.46265,2.91265,7.55,0,T3,T0 to T3,0.3857814569536424
22.18736,8.667360000000002,13.52,0,T3,T0 to T3,0.6410769230769232
20.762678,6.095678000000001,14.667,0,T3,T0 to T3,0.41560496352355636
12.78,0.3739999999999988,12.406,0,T3,T0 to T3,0.030146703208125
4.343331,0.6963310000000003,3.647,0,T3,T0 to T3,0.19093254729915007
9.62919,4.56619,5.063,0,T3,T0 to T3,0.9018743827770097
13.33972,5.13072,8.209,0,T3,T0 to T3,0.6250115726641492
